Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"SSD XPG GAMMIX S11 Pro, 512GB, PCI Express 3.0 x4, M.2",AGAMMIXS11P-512GT-C,$726.00,$559.00,$99.00,25
"Procesador AMD Ryzen 5 4600G Radeon Graphics, S-AM4, 3.70GHz, Six-Core, 8MB L3 Caché - con Disipador Wraith Stealth",100-100000147BOX,"$1,660.00","$1,459.00",$99.00,178
"Tóner Brother TN-336 Negro, 4000 Páginas ― ¡Envio gratis limitado a 5 productos por cliente!",TN336BK,"$2,075.00","$1,289.00",Envío gratis,18
"Procesador AMD Ryzen 7 5700G, S-AM4, 3.80GHz, 8-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000263BOX,"$3,264.00","$2,759.00",$99.00,89
"Teclado Gamer HyperX Alloy Core RGB, Alámbrico, Negro (Español)",4P4F5AI#AC8,"$1,126.00",$999.00,$99.00,104
"Teclado Gamer Logitech G915 TKL RGB, Teclado Mecánico, Switch GL Táctil, Inalámbrico, Blanco (Inglés)",920-009660,"$3,433.00","$2,829.00",$99.00,¡1
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Azul",CA-9011196-NA,$630.00,$495.00,$99.00,149
Honeywell HF680-R1-2USB Lector de Código de Barras 2D - incluye Cables,HF680-R1-2USB,"$4,102.00","$2,759.00",$99.00,22
"Memoria RAM Dell AB663419 DDR4, 3200MHz, 8GB, ECC — Fabricado por Socios Dell",AB663419,"$3,988.00","$1,669.00",$99.00,23
"Mini Mouse Logitech Óptico M187, Inalámbrico, USB, 1000DPI Rosa",910-005364,$355.00,$213.00,$99.00,315
"SSD Crucial MX500, 500GB, SATA III, 2.5""",CT500MX500SSD1,$827.00,$659.00,$99.00,61
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Negro",910-005281,"$1,286.00",$999.00,$99.00,10
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Azul",910-006013,"$1,248.00",$999.00,$99.00,8
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1660 OC, 6GB 192-bit GDDR5, PCI Express x16 3.0",GV-N1660OC-6GD,"$6,739.00","$5,319.00",$99.00,27
"Memoria Flash SanDisk para Nintendo Switch, 128GB MicroSDXC Clase 3",DSQXAO-128G-GNCZN,$498.00,$348.00,$99.00,357
